Subject,Group,count,Feel1,Feel2,Feel3,Flch_2_1,Flch_3_1,Content_pos1,Content_pos2,Content_pos3,Conch_2_1,Conch_3_1,ConSim_2_1,ConSim_3_1,r1_total_details,r2_orig_perc,r2_elab_perc,r2_newpos_perc,r2_newneg_perc,r3_orig_perc,r3_elab_perc,r3_newpos_perc,r3_newneg_perc,date
689,Positive,10,4.5,3.3,5,-1.2,0.5,2.95,3.45,3.75,0.5,0.8,3,4.15,7.05,0.774971989,0.1,0.114789916,0.095952381,0.919393939,0.2,0.018181818,0.025757576,5.6
691,Positive,10,2.9,3.8,4.6,0.9,1.7,3.5,3.45,3.75,-0.05,0.25,2.7,3.3,6,0.817252747,0,0.08021978,0.102527473,0.780108225,0,0.101987734,0.11790404,4.7
693,Positive,10,3.2,4.7,5.2,1.5,2,3.75,4,4.15,0.25,0.4,3.15,4.15,9,0.785008592,0.5,0.05018481,0.098746557,0.851807041,0.3,0.084393939,0.014215686,4.8
700,Control,10,5.1,5.5,5.8,0.4,0.7,3.9,3.9,4.25,0,0.35,2.75,4.25,6.055555556,0.799579433,0,0.140116673,0.060303894,0.830908289,0,0.144091711,0.025,4.2
701,Positive,10,5,5.4,4.9,0.4,-0.1,3.55,3.9,3.95,0.35,0.4,2.45,2.5,5.277777778,0.912844255,0.055555556,0.037464387,0.035802469,0.909118967,0,0.04365881,0.047222222,5
703,Positive,9,3.777777778,5.666666667,4.666666667,1.888888889,0.888888889,3.777777778,4.111111111,4.277777778,0.333333333,0.5,3.722222222,3.944444444,7.611111111,0.967592593,0,0.020061728,0.012345679,0.87718254,0.055555556,0.064814815,0.04212963,5.222222222
705,Positive,10,4.2,4.2,5.2,0,1,4.2,4.25,4.2,0.05,0,2.3,2.6,2.9,0.733333333,0,0.18,0.086666667,0.7525,0,0.114166667,0.133333333,3.6
712,Control,10,3.5,3.4,3.5,-0.1,0,3.95,4.25,4.2,0.3,0.25,2.65,2.7,5.5,0.893974359,0.15,0.031111111,0.045,0.918974359,0.15,0.031111111,0.02,4.6
713,Control,10,3.8,2.9,4.9,-0.9,1.1,4,4.05,4.1,0.05,0.1,2.4,3,6.2,0.922132035,0,0.032007576,0.04586039,0.876850649,0,0.064626623,0.058522727,4
714,Control,7,3.571428571,4.714285714,5,1.142857143,1.428571429,4.357142857,4.642857143,5.357142857,0.285714286,1,3,4.071428571,4.285714286,0.762188209,0.357142857,0.091836735,0.044217687,0.710714286,0.214285714,0.125,0.1,3.142857143
716,Control,8,4.625,5.625,5.25,1,0.625,3.1875,3.75,3.9375,0.5625,0.75,2.625,3.1875,7.3125,0.957575758,0,0.008333333,0.034090909,0.951388889,0,0.034722222,0.013888889,4.75
